DISTRICT,DISTRICT_ID,BLOCKID,NAME
Longgang,6,47,Longcheng
Guangming,7,56,Matian
Guangming,7,55,Guangming
Guangming,7,54,Xinhu
Longgang,6,53,Henggang
Longgang,6,52,Pinghu
Longgang,6,51,Buji
Longgang,6,50,Bantian
Longgang,6,49,Jihua
Longgang,6,48,Nanwan
Guangming,7,57,Gongming
Longgang,6,46,Baolong
Longgang,6,45,Longgang
Longgang,6,44,Pingdi
Longgang,6,43,Yuanshan
Bao'an,5,42,Fuhai
Bao'an,5,41,Shajing
Bao'an,5,40,Xixiang
Bao'an,5,39,Xinan
Longhua,9,66,Guanlan
Dapeng,10,74,Kuichong
Dapeng,10,73,Dapeng
Dapeng,10,72,Nanao
Longhua,9,71,Minzhi
Longhua,9,70,Dalang
Longhua,9,69,Fucheng
Longhua,9,68,Longhua
Longhua,9,67,Guanhu
Bao'an,5,38,Shiyan
Pingshan,8,65,Maluan
Pingshan,8,64,Pingshan
Pingshan,8,63,Kengzi
Pingshan,8,62,Longtian
Pingshan,8,61,Shijing
Pingshan,8,60,Biling
Guangming,7,59,Fenghuang
Guangming,7,58,Yutang
Futian,1,10,Fubao
Luohu,2,19,Dongmen
Luohu,2,18,Cuizhu
Luohu,2,17,Guiyuan
Luohu,2,16,Liantang
Luohu,2,15,Dongxiao
Luohu,2,14,Huangbei
Luohu,2,13,Nanhu
Luohu,2,12,Donghu
Luohu,2,11,Qingshuihe
Luohu,2,20,Sungang
Futian,1,9,Yuanling
Futian,1,8,Huaqiangbei
Futian,1,7,Nanyuan
Futian,1,6,Huafu
Futian,1,5,Meilin
Futian,1,4,Lianhua
Futian,1,3,Shatou
Futian,1,2,Futian
Yantian,4,29,Yantian
Bao'an,5,37,Fuyong
Bao'an,5,36,Hangcheng
Bao'an,5,35,Xinqiao
Bao'an,5,34,Songgang
Bao'an,5,33,Yanluo
Yantian,4,32,Shatoujiao
Yantian,4,31,Meisha
Yantian,4,30,Haishan
Futian,1,1,Xiangmihu
Nanshan,3,28,Taoyuan
Nanshan,3,27,Nanshan
Nanshan,3,26,Shekou
Nanshan,3,25,Zhaoshang
Nanshan,3,24,Nantou
Nanshan,3,23,Yuehai
Nanshan,3,22,Xili
Nanshan,3,21,Shahe
